000000001132,Herman Verbeek
000000001170,Hester de Vogel
000000000981,Heyltje Adriaens van Crimpen
000000000975,Heyndrick Oortgys
000000001259,Hieronymus de Vogel
000000000176,Hillebrand van der Aa
000000000701,Hillegont Cornelis
000000000040,Hiob Warnfast
000000000153,Hugo Jansz van Woerden
000000000669,Hugo de Groot
000000000647,Huibert Wardenaar
000000000622,Huibert Wardenaer K
000000000765,Huibert Warnaer
000000000035,Huijbert Wardenaar
000000000349,Huybert Claesz
000000000997,Huybert van Outhuysen
000000000166,Huybert van Schaik
000000000526,Huybert van den Bergh
000000000784,Huybert van der Boxe
000000000903,IJsbrand Buys
000000000194,IJsbrant Buijs
000000000294,Ida Raets
000000000875,Immetje Everts
000000000692,Is. Nortier
000000001076,Isaac
000000001196,Isaac Carre
000000000387,Isaac Commelin
000000000536,Isaac Coutrier
000000001072,Isaac Elsevier
000000000892,Isaac Jacobsz Burchoorn
000000001033,Isaac Nortier
000000001232,Isaac Obijn
000000000497,Isaac de Beauvois
000000000513,Isaac de Beer
000000000003,Isaac de Waal
000000000804,Isaac van der Horst
000000000727,Isaac van der Walle
000000000447,Isaack de Wael
000000000360,Isaak Clement
000000001006,Isaak Obijn
000000001145,Isabella Schoonderoort
000000001202,Isack Coster
000000001054,Isbrant van der Burgh
000000000664,Izak Labordus
000000000663,Izak Tasseron
000000000515,J van Bems
000000000336,J. Kamerling
000000000728,J. Stockmans
000000000339,J. de Jong K
000000001143,J.A. Langerak
000000000887,Jac. Hael
000000000202,Jacob Adriaensz
000000000498,Jacob Beauvois
000000000582,Jacob Boels
000000000723,Jacob Bosschieter
000000000888,Jacob Burchoorn
000000000282,Jacob Carpentier
000000000389,Jacob Commelin
000000000392,Jacob Coninck
000000000905,Jacob Corpershoek
000000000411,Jacob Croonder
000000001079,Jacob Elsevier
000000000678,Jacob Engelbrecht
000000000747,Jacob Flipse Fermejou
000000000065,Jacob Hackius
000000000171,Jacob Huyser
000000001203,Jacob Isaac Domus
000000000181,Jacob Kaesgieter
000000000284,Jacob Lauwijck
000000000744,Jacob Louwick
000000000061,Jacob Marcus
000000000045,Jacob Marcusz
000000000495,Jacob Meul
000000000914,Jacob Moucque
000000001141,Jacob Murray
000000000084,Jacob Perk
000000001214,Jacob Pietersz de Vinck
000000000456,Jacob Pietersz de Vinck*
000000001244,Jacob Poereep
000000001058,Jacob Questro
000000000764,Jacob Reinierse
000000000965,Jacob Senerus
000000001192,Jacob Vieusaert
000000001268,Jacob Voorn
000000000053,Jacob Wetstein
000000000081,Jacob Willeke
000000000091,Jacob Willekes
000000000538,Jacob de Beunje
000000000626,Jacob de Graav
000000000672,Jacob den Ouden
000000000686,Jacob van den Bree
000000000629,Jacob van der Boot
000000000774,Jacob van der Bree
000000000651,Jacob van der Pluim
000000000087,Jacob van der Spijk
000000001107,Jacob van der Vecht
000000000898,Jacob? Burchoorn
000000000540,Jacoba Hoevenaar
000000000576,Jacoba Verbeeck
000000000138,Jacoba van Kampen
000000000130,Jacoba van den Acker
000000000510,Jacobus Beecke
000000000713,Jacobus Bos
000000000271,Jacobus Cabeljauw
000000000762,Jacobus Reijnierse
000000000534,Jacobus le Beuf
000000000525,Jacobus van den Berg
000000000175,Jacobus van der Spijck
000000001103,Jacobus van der Valk
000000000384,Jacomina
000000000059,Jacomina Marcus van Wolferhuijsen
000000000935,Jacomina van Ree
000000000702,Jacomyntje Oesseels
000000001075,Jacquemyntje Simons van Swieten
000000000733,Jacques Boulet
000000000366,Jacques Cleyne
000000000496,Jacques Joseph de Beaufort
000000000122,Jacques Sinot
000000001189,Jacques Vieusaert
000000001015,Jaecquemijntje Nolleth
000000000278,Jaepje Jans
000000000206,Jan Adriaensz
000000000537,Jan Aelbertsz van Zijgerhorst
000000000816,Jan Ambrullaert
000000000259,Jan Anthonisz
000000000263,Jan Arents
000000000428,Jan Baers
000000000533,Jan Bergier
000000000615,Jan Boon
000000000698,Jan Borneviel
000000000755,Jan Bouwensz
000000001247,Jan Bredero
000000000270,Jan Cabbeljauw
000000000681,Jan Cavee
000000000184,Jan Christiaan Aalbregts
000000000307,Jan Christiaensz
000000000346,Jan Claessen
000000000350,Jan Claesz
000000000390,Jan Commelin
000000000404,Jan Cornelisz
000000001181,Jan Crijnsz Verruwhert
000000000422,Jan Crynen
000000000056,Jan David Vreugdewater
000000000740,Jan Divicsz
000000001135,Jan Douw
000000001004,Jan Drijk
000000000929,Jan Drummond
000000000908,Jan Fagel
000000000923,Jan Fluijters
000000000936,Jan Fonteyn
000000000950,Jan Fransz
000000000323,Jan Frund
000000000880,Jan Goverts
000000000483,Jan Govertsz van Enden
000000000814,Jan Gubert
000000000470,Jan Hageman uit Hamburg
000000000344,Jan Hans Claes
000000001008,Jan Hendricxz Nachtegael
000000000335,Jan Hendrik Gillisen
000000000249,Jan Hendrik van Damme
000000000114,Jan Heyligert
000000000134,Jan Hoftuijn
000000000641,Jan Houtema
000000000677,Jan Huba
000000001016,Jan Huybrechtsz van Nederwaert
000000000289,Jan I Casier
000000000382,Jan I Commelin
000000000329,Jan II van Damme
000000000416,Jan Jacobz van Slingelant
000000000293,Jan Jan Casier
000000001061,Jan Janse Rickelman
000000001021,Jan Jansz Nieukerck
000000000989,Jan Jansz Orlers
000000000999,Jan Jansz Ouwenbroek
000000000505,Jan Jansz van Bebberen
000000000700,Jan Janszoon Bors
000000000637,Jan Ligthmans
000000000671,Jan Maats
000000000019,Jan Maire
000000000882,Jan Marten Bruyset
000000000642,Jan Mullinkhof
000000001022,Jan Nisbeth
000000000843,Jan Pietersz van den Brande
000000000818,Jan Rijcke L
000000000334,Jan Schreuder
000000000207,Jan Sirlippus Adriaensz
000000000623,Jan Spaan
000000000801,Jan Steenhagen
000000000300,Jan Tasseron
000000001114,Jan Thomasz de Vechter
000000000543,Jan Trago L
000000001130,Jan Velingh
000000001162,Jan Vergunst
000000000683,Jan Verhagen
000000001179,Jan Verrijk
000000001242,Jan Wagens
000000001201,Jan Wetsteede
000000000871,Jan Wiggers
000000000567,Jan Willems Blauwbeeck
000000000093,Jan Willemsz
000000000097,Jan Willemsz (edinburgh
000000000990,Jan Willemsz Orlers
000000000094,Jan Williamson
000000000638,Jan Wils
000000001069,Jan Zachariasz Baron
000000000604,Jan de Bonje
000000000182,Jan de Bruijn
000000000361,Jan de Clerc
000000000791,Jan de Heu
000000000828,Jan de Vechter
000000000226,Jan van Alste jr
000000000907,Jan van Buyten
000000000802,Jan van Houdema
000000000749,Jan van Leemen
000000000126,Jan van Noord
000000000321,Jan van den Steenweg
000000000168,Jan van der Aa
000000001115,Janneke Abelmont
000000000304,Janneke Elsevier
000000001127,Janneke Smalbeens
000000001118,Jannetje Abelmont
000000000108,Jannetje Basin
000000000752,Jannetje Christiaans
000000000993,Jannetje Fleur
000000000924,Jannetje Greijs
000000000726,Jannetje Groeneschey. K
000000001009,Jannetje Huygens
000000000220,Jannetje Jans de Hoiers
000000000098,Jannetje Joosten
000000000886,Jannetje Marlier
000000001277,Jannetje Massaar
000000000938,Jannetje Passchiers
000000000556,Jannetje Staverinus
000000001117,Jannetje Thonis
000000000847,Jannetje Thonis van Stienevelt
000000001134,Jannetje de Linde
000000000013,Jannetje de Wever
000000000550,Jannetje van der Speck
000000000467,Jaques Bast
000000000305,Jaques Chouet
000000000301,Jasper Centen
000000001254,Jasper van der Vloet
000000000926,Jean Alexandre de la Font
000000000272,Jean Caesar
000000000071,Jean Martin
000000001102,Jean du Val
000000000285,Jean le Carpentier
000000000946,Jean le Franois
000000000861,Jeanne Babut
000000000930,Jeanne Boeb
000000000565,Jeanne de Vos
000000000942,Jeanne du Pr
000000001210,Jeremias Villiers
